"segmentasi","commodity_desc","department","jumlah_transaksi","total_quantity","total_penjualan","rank_in_segment"
"POTENTIAL LOYALIST","BAG SNACKS","GROCERY","17025","20262","37807.42","10"
"REGULAR","COUPON/MISC ITEMS","KIOSK-GAS","2015","20198631","47123.45","1"
"REGULAR","SOFT DRINKS","GROCERY","14884","19977","40052.93","2"
"REGULAR","BEEF","MEAT","6129","8220","38041.29","3"
"REGULAR","FLUID MILK PRODUCTS","GROCERY","11113","14238","24976.04","4"
"REGULAR","CHEESE","GROCERY","9231","12147","23430.62","5"
"REGULAR","FRZN MEAT/MEAT DINNERS","GROCERY","6649","9959","18024.76","6"
"REGULAR","BAG SNACKS","GROCERY","8125","9670","17706.46","7"
"REGULAR","FROZEN PIZZA","GROCERY","5214","8413","17179.71","8"
"REGULAR","BAKED BREAD/BUNS/ROLLS","GROCERY","9917","11887","16583.26","9"
"REGULAR","BEERS/ALES","GROCERY","1949","2164","16058.68","10"
"RISK OF LOSING","COUPON/MISC ITEMS","KIOSK-GAS","1209","12609805","29723.88","1"
"RISK OF LOSING","SOFT DRINKS","GROCERY","6906","9708","20572.34","2"
"RISK OF LOSING","BEEF","MEAT","2757","3812","18664.76","3"
"RISK OF LOSING","CHEESE","GROCERY","4347","5603","11327.67","4"
"RISK OF LOSING","FLUID MILK PRODUCTS","GROCERY","4529","6347","10704.57","5"
"RISK OF LOSING","FROZEN PIZZA","GROCERY","2907","4672","9794.16","6"
"RISK OF LOSING","FRZN MEAT/MEAT DINNERS","GROCERY","3184","4759","9448.08","7"
"RISK OF LOSING","BAG SNACKS","GROCERY","3889","4767","9395.61","8"
"RISK OF LOSING","BEERS/ALES","GROCERY","1068","1254","9278.63","9"
"RISK OF LOSING","BAKED BREAD/BUNS/ROLLS","GROCERY","4843","6182","8621.94","10"
