household_key,recency,frequency,monetary,recency_rfm,frequency_rfm,monetary_rfm,segmentasi
1908,123,38,714.31,1,2,1,LOST
746,123,39,569.05,1,2,1,LOST
963,123,43,2036.66,1,2,3,RISK OF LOSING
835,123,17,273.81,1,1,1,LOST
423,122,14,230.85,1,1,1,LOST
2096,120,26,1301.65,1,1,2,LOST
2150,120,8,69.32,1,1,1,LOST
2052,120,6,131.83,1,1,1,LOST
181,119,39,1670.82,1,2,3,RISK OF LOSING
1825,118,43,1831.84,1,2,3,RISK OF LOSING
1243,117,15,249.7,1,1,1,LOST
1118,116,16,945.89,1,1,2,LOST
1482,116,18,1042.35,1,1,2,LOST
1436,115,8,134.89,1,1,1,LOST
2436,115,15,972.68,1,1,2,LOST
683,114,9,170.06,1,1,1,LOST
2045,114,19,310.64,1,1,1,LOST
2157,113,12,390.7,1,1,1,LOST
2414,111,6,178.68,1,1,1,LOST
555,110,21,561.03,1,1,1,LOST
2382,109,36,822.64,1,2,2,LOST
2403,109,10,118.69,1,1,1,LOST
1582,109,37,1907.02,1,2,3,RISK OF LOSING
2473,108,9,330.68,1,1,1,LOST
892,106,22,443.31,1,1,1,LOST
833,106,34,1975.56,1,2,3,RISK OF LOSING
918,106,152,3135.38,1,4,4,RISK OF LOSING
619,106,5,168.98,1,1,1,LOST
571,106,16,1114.16,1,1,2,LOST
921,106,9,101.3,1,1,1,LOST
902,105,10,135.23,1,1,1,LOST
1311,104,17,685.63,1,1,1,LOST
2391,104,54,633.92,1,2,1,LOST
1286,103,30,595,1,1,1,LOST
150,103,6,230.35,1,1,1,LOST
2177,103,3,133.5,1,1,1,LOST
950,101,58,2027,1,2,3,RISK OF LOSING
778,101,123,2285.59,1,4,3,RISK OF LOSING
2178,101,152,3681.13,1,4,4,RISK OF LOSING
2143,101,9,298.65,1,1,1,LOST
176,100,23,788.29,1,1,2,LOST
1561,100,6,401.41,1,1,1,LOST
391,98,49,1412.64,1,2,2,LOST
1910,97,26,741.83,1,1,1,LOST
912,95,20,1164.11,1,1,2,LOST
2013,95,94,1182.47,1,3,2,RISK OF LOSING
2356,94,98,2159.78,1,3,3,RISK OF LOSING
1444,93,23,323.99,1,1,1,LOST
2433,93,30,609.75,1,1,1,LOST
2413,93,17,301.41,1,1,1,LOST
763,92,40,2815.58,1,2,4,RISK OF LOSING
504,91,7,516.34,1,1,1,LOST
821,91,17,464.56,1,1,1,LOST
1396,91,229,7177.06,1,5,5,RISK OF LOSING
1435,91,13,511.78,1,1,1,LOST
639,91,79,7.598.300.000.000.000.000.000.000,1,3,1,RISK OF LOSING
1237,90,20,1051.16,1,1,2,LOST
1063,90,57,1327.48,1,2,2,LOST
1772,90,97,2452.88,1,3,3,RISK OF LOSING
1253,89,24,570.15,1,1,1,LOST
791,89,21,303.01,1,1,1,LOST
2318,89,366,10685.72,1,5,5,RISK OF LOSING
1670,87,19,96.48,1,1,1,LOST
1315,87,5,645.36,1,1,1,LOST
2390,87,47,1046.59,1,2,2,LOST
309,87,22,2325.59,1,1,3,RISK OF LOSING
1449,86,39,405.83,1,2,1,LOST
137,85,38,1062.17,1,2,2,LOST
1348,85,23,324.22,1,1,1,LOST
4,84,30,1200.11,1,1,2,LOST
315,84,11,182.19,1,1,1,LOST
2152,84,25,156.55,1,1,1,LOST
340,84,29,1057.56,1,1,2,LOST
2180,83,44,936.39,1,2,2,LOST
44,83,32,877.76,1,1,2,LOST
1860,82,58,753.42,1,2,1,LOST
2104,82,29,494.57,1,1,1,LOST
629,81,27,377.49,1,1,1,LOST
1736,81,22,374.48,1,1,1,LOST
2098,79,13,682.46,1,1,1,LOST
1616,79,38,1235.72,1,2,2,LOST
535,79,34,1308.76,1,2,2,LOST
1220,79,31,787.04,1,1,2,LOST
492,78,117,7148.28,1,4,5,RISK OF LOSING
546,78,122,3339,1,4,4,RISK OF LOSING
1675,78,102,4862.09,1,4,4,RISK OF LOSING
1522,78,35,1086.56,1,2,2,LOST
1441,77,13,401.47,1,1,1,LOST
445,75,232,2696.5,1,5,3,RISK OF LOSING
2309,75,12,275.01,1,1,1,LOST
1143,75,12,173.31,1,1,1,LOST
860,75,52,261.06,1,2,1,LOST
1986,74,12,230.06,1,1,1,LOST
341,74,30,393.5,1,1,1,LOST
1341,74,13,434.77,1,1,1,LOST
1173,74,41,655.77,1,2,1,LOST
154,74,30,867.18,1,1,2,LOST
899,73,12,315.15,1,1,1,LOST
1254,73,6,252.31,1,1,1,LOST
1156,73,29,999.33,1,1,2,LOST
89,73,11,177.56,1,1,1,LOST
1033,71,26,1366.97,1,1,2,LOST
1977,71,30,357.99,1,1,1,LOST
419,70,46,1696.61,1,2,3,RISK OF LOSING
756,70,24,690.42,1,1,1,LOST
2165,70,11,182.1,1,1,1,LOST
403,69,46,914.56,1,2,2,LOST
2396,69,17,550.48,1,1,1,LOST
2035,69,68,1083.62,1,3,2,RISK OF LOSING
910,69,34,1158.11,1,2,2,LOST
2144,69,49,2265.9,1,2,3,RISK OF LOSING
938,69,26,1647.36,1,1,3,RISK OF LOSING
1681,67,90,2602.28,1,3,3,RISK OF LOSING
2220,67,15,215.58,1,1,1,LOST
2495,67,20,209,1,1,1,LOST
599,67,5,357.78,1,1,1,LOST
1095,67,30,599.54,1,1,1,LOST
2061,66,18,226.71,1,1,1,LOST
1711,66,11,664.98,1,1,1,LOST
1984,66,3,38.94,1,1,1,LOST
476,66,29,15.512.700.000.000.000.000.000.000,1,1,2,LOST
2097,66,202,8823.83,1,5,5,RISK OF LOSING
2074,66,29,678.72,1,1,1,LOST
2398,66,76,2035.1,1,3,3,RISK OF LOSING
1921,64,104,1460.12,1,4,2,RISK OF LOSING
2210,63,34,1727.97,1,2,3,RISK OF LOSING
1099,63,28,683.13,1,1,1,LOST
1107,63,22,877.32,1,1,2,LOST
1048,63,103,1934.45,1,4,3,RISK OF LOSING
1771,62,11,532.2,1,1,1,LOST
2044,62,49,1000.84,1,2,2,LOST
144,62,88,2126.31,1,3,3,RISK OF LOSING
532,62,23,401.88,1,1,1,LOST
2255,62,21,570.03,1,1,1,LOST
1170,62,7,68.45,1,1,1,LOST
2383,62,18,555.64,1,1,1,LOST
261,61,44,1241.87,1,2,2,LOST
2332,61,16,353.8,1,1,1,LOST
2227,61,173,4893.9,1,5,4,RISK OF LOSING
1866,61,15,159.05,1,1,1,LOST
149,60,215,11920.93,1,5,5,RISK OF LOSING
925,60,79,485.24,1,3,1,RISK OF LOSING
1448,60,80,1927.33,1,3,3,RISK OF LOSING
737,60,52,1593.51,1,2,2,LOST
1574,60,28,3616.03,1,1,4,RISK OF LOSING
1424,60,57,595.22,1,2,1,LOST
496,59,13,648.4,1,1,1,LOST
1460,59,57,2455.68,1,2,3,RISK OF LOSING
238,59,28,693.4,1,1,1,LOST
2140,59,51,1567.89,1,2,2,LOST
1565,59,31,447.91,1,1,1,LOST
207,58,21,995.72,1,1,2,LOST
120,58,19,242.32,1,1,1,LOST
1714,58,9,264.72,1,1,1,LOST
1251,57,53,325.77,1,2,1,LOST
163,57,17,272.52,1,1,1,LOST
966,57,16,202.06,1,1,1,LOST
1420,57,79,3891.97,1,3,4,RISK OF LOSING
237,57,6,549.59,1,1,1,LOST
1016,57,40,3089.84,1,2,4,RISK OF LOSING
1746,57,49,2177.16,1,2,3,RISK OF LOSING
2355,57,16,111.34,1,1,1,LOST
1786,56,44,409.73,1,2,1,LOST
206,56,15,386.6,1,1,1,LOST
751,56,27,521.04,1,1,1,LOST
2430,56,60,1885.95,1,3,3,RISK OF LOSING
635,56,34,362.9,1,2,1,LOST
279,56,53,1816.62,1,2,3,RISK OF LOSING
175,56,51,1154.02,1,2,2,LOST
1702,55,30,1927.05,1,1,3,RISK OF LOSING
1505,55,103,4053.23,1,4,4,RISK OF LOSING
774,55,16,909.96,1,1,2,LOST
1032,55,92,2473.76,1,3,3,RISK OF LOSING
182,55,36,1162.34,1,2,2,LOST
686,55,21,534.57,1,1,1,LOST
74,55,131,2047.64,1,4,3,RISK OF LOSING
2348,54,56,278.87,1,2,1,LOST
1496,54,12,852.95,1,1,2,LOST
1372,53,25,1337.07,1,1,2,LOST
592,53,34,660.79,1,2,1,LOST
933,53,79,2175.19,1,3,3,RISK OF LOSING
1036,53,27,1231.17,1,1,2,LOST
2268,53,23,668.96,1,1,1,LOST
1894,53,42,2335.47,1,2,3,RISK OF LOSING
1498,53,26,960.18,1,1,2,LOST
1834,52,135,3769.5,1,4,4,RISK OF LOSING
2286,52,26,989.26,1,1,2,LOST
519,52,32,819.13,1,1,2,LOST
1439,52,33,555.56,1,2,1,LOST
1503,51,18,117.69,1,1,1,LOST
905,51,31,851.93,1,1,2,LOST
724,51,26,639.3,1,1,1,LOST
1615,51,42,869.28,1,2,2,LOST
1656,51,10,458.22,1,1,1,LOST
1140,51,21,1164.18,1,1,2,LOST
2093,50,19,490.98,1,1,1,LOST
1820,50,77,4208.08,1,3,4,RISK OF LOSING
1101,50,16,190.78,1,1,1,LOST
488,50,20,406.96,1,1,1,LOST
1477,50,15,279.2,1,1,1,LOST
1392,50,109,2315.07,1,4,3,RISK OF LOSING
1079,49,50,1001.3,1,2,2,LOST
2362,49,41,520.29,1,2,1,LOST
73,49,164,2864.18,1,5,4,RISK OF LOSING
1006,49,11,161.48,1,1,1,LOST
2468,49,90,2506.89,1,3,3,RISK OF LOSING
2230,49,38,1195.65,1,2,2,LOST
1980,49,54,4443.15,1,2,4,RISK OF LOSING
2251,49,26,2022.54,1,1,3,RISK OF LOSING
851,49,21,166.78,1,1,1,LOST
2357,49,29,234.37,1,1,1,LOST
782,48,70,1557.05,1,3,2,RISK OF LOSING
1386,48,8,111.15,1,1,1,LOST
1629,48,9,590.71,1,1,1,LOST
399,48,17,978.48,1,1,2,LOST
472,48,96,8295.58,1,3,5,RISK OF LOSING
1635,48,20,128.98,1,1,1,LOST
1570,47,51,2389.96,1,2,3,RISK OF LOSING
1262,47,29,769.72,1,1,2,LOST
1030,47,30,1260.29,1,1,2,LOST
1564,47,36,437.77,1,2,1,LOST
991,46,31,1419.88,1,1,2,LOST
2291,46,55,439.03,1,2,1,LOST
1343,46,12,267.19,1,1,1,LOST
252,46,9,93.78,1,1,1,LOST
1091,45,116,5617.4,1,4,5,RISK OF LOSING
2420,45,102,4583.46,1,4,4,RISK OF LOSING
967,45,10,299.38,1,1,1,LOST
1521,45,43,753.95,1,2,1,LOST
1645,45,8,296.52,1,1,1,LOST
1471,44,32,486.72,1,1,1,LOST
1043,43,19,988.73,1,1,2,LOST
2,43,45,1954.34,1,2,3,RISK OF LOSING
1925,43,118,3019.2,1,4,4,RISK OF LOSING
556,43,15,693.86,1,1,1,LOST
226,43,50,1205.06,1,2,2,LOST
931,43,42,4967.07,1,2,4,RISK OF LOSING
1480,43,27,152.21,1,1,1,LOST
757,43,40,2023.37,1,2,3,RISK OF LOSING
487,42,9,133.68,1,1,1,LOST
347,42,15,540.76,1,1,1,LOST
62,42,33,359.29,1,2,1,LOST
1508,42,81,1849.2,1,3,3,RISK OF LOSING
190,42,23,696.28,1,1,1,LOST
121,42,112,2225.58,1,4,3,RISK OF LOSING
1532,42,86,1916.02,1,3,3,RISK OF LOSING
174,42,27,1208.39,1,1,2,LOST
1904,41,28,304.26,1,1,1,LOST
2155,41,11,313.83,1,1,1,LOST
1750,41,20,736.42,1,1,1,LOST
466,41,17,423.32,1,1,1,LOST
795,40,45,1295.91,1,2,2,LOST
1959,40,104,5592.54,1,4,5,RISK OF LOSING
65,40,122,2042.17,1,4,3,RISK OF LOSING
2029,40,46,1688.9,1,2,3,RISK OF LOSING
2175,40,17,610.22,1,1,1,LOST
327,40,27,226.71,1,1,1,LOST
122,40,132,2354.22,1,4,3,RISK OF LOSING
1539,39,10,79.41,1,1,1,LOST
2434,39,23,771.51,1,1,2,LOST
232,39,631,12695.57,1,5,5,RISK OF LOSING
241,39,16,199.73,1,1,1,LOST
1149,39,17,307.91,1,1,1,LOST
1060,39,64,6096.93,1,3,5,RISK OF LOSING
1909,38,22,546.99,1,1,1,LOST
1647,38,12,50.49,1,1,1,LOST
880,38,12,197.39,1,1,1,LOST
1360,38,23,630.19,1,1,1,LOST
86,38,46,4019.44,1,2,4,RISK OF LOSING
480,38,92,3646.39,1,3,4,RISK OF LOSING
1012,38,121,2342.51,1,4,3,RISK OF LOSING
1632,38,64,2104.91,1,3,3,RISK OF LOSING
2368,38,27,1377.69,1,1,2,LOST
537,37,45,1411.25,1,2,2,LOST
225,37,44,729.82,1,2,1,LOST
2276,37,31,1007.97,1,1,2,LOST
1895,37,49,927.56,1,2,2,LOST
1666,37,82,1078.47,1,3,2,RISK OF LOSING
1157,37,104,2779.86,1,4,4,RISK OF LOSING
2163,37,14,356.1,1,1,1,LOST
1123,37,73,3915.81,1,3,4,RISK OF LOSING
274,37,15,120.07,1,1,1,LOST
183,37,136,1560.67,1,4,2,RISK OF LOSING
366,36,48,615.78,1,2,1,LOST
2026,36,18,1181.63,1,1,2,LOST
382,36,34,694.7,1,2,1,LOST
169,36,24,255.58,1,1,1,LOST
213,36,9,606.5,1,1,1,LOST
1214,36,7,122.95,1,1,1,LOST
267,36,26,385.56,1,1,1,LOST
50,36,15,351.39,1,1,1,LOST
1112,35,52,1889.45,1,2,3,RISK OF LOSING
610,35,24,573.06,1,1,1,LOST
1518,35,34,1373.77,1,2,2,LOST
1464,35,76,2474.4,1,3,3,RISK OF LOSING
478,35,20,286.02,1,1,1,LOST
268,35,30,809.21,1,1,2,LOST
1950,35,31,746.74,1,1,1,LOST
2072,35,12,278.28,1,1,1,LOST
90,34,10,490.41,1,1,1,LOST
2135,34,45,779.29,1,2,2,LOST
1183,34,9,260.04,1,1,1,LOST
1951,34,18,561.48,1,1,1,LOST
1108,34,22,292.1,1,1,1,LOST
602,34,53,1850.07,1,2,3,RISK OF LOSING
1734,34,19,161.78,1,1,1,LOST
244,34,41,1698.95,1,2,3,RISK OF LOSING
1700,34,33,1606.69,1,2,2,LOST
333,33,39,1248.81,1,2,2,LOST
1342,33,12,160.02,1,1,1,LOST
1331,33,105,1821.03,1,4,3,RISK OF LOSING
854,33,36,551.87,1,2,1,LOST
1903,33,40,1152.32,1,2,2,LOST
2271,33,46,361.88,1,2,1,LOST
1886,33,31,406.25,1,1,1,LOST
2352,32,43,1255.85,1,2,2,LOST
1882,32,26,405.54,1,1,1,LOST
1205,32,186,4383.72,1,5,4,RISK OF LOSING
2212,32,46,251.33,1,2,1,LOST
1380,32,25,349.81,1,1,1,LOST
576,32,167,3750.12,1,5,4,RISK OF LOSING
1789,32,23,293.19,1,1,1,LOST
2363,32,43,843.76,1,2,2,LOST
1523,32,67,1668.3,1,3,3,RISK OF LOSING
220,32,91,2525.24,1,3,3,RISK OF LOSING
2457,32,77,1540.47,1,3,2,RISK OF LOSING
2081,32,35,921.84,1,2,2,LOST
1654,32,40,786.53,1,2,2,LOST
943,32,144,3434.14,1,4,4,RISK OF LOSING
767,32,13,562.77,1,1,1,LOST
1319,32,48,1059.79,1,2,2,LOST
1738,31,62,1379.36,1,3,2,RISK OF LOSING
1502,31,47,2160.82,1,2,3,RISK OF LOSING
264,31,61,1783.07,1,3,3,RISK OF LOSING
1811,31,16,852.56,1,1,2,LOST
1723,31,86,4469.22,1,3,4,RISK OF LOSING
640,31,92,2253.25,1,3,3,RISK OF LOSING
2174,31,39,644.33,1,2,1,LOST
942,31,215,5890.14,1,5,5,RISK OF LOSING
1657,30,50,647.9,1,2,1,LOST
1221,30,15,652.34,1,1,1,LOST
1069,30,55,3433.27,1,2,4,RISK OF LOSING
2223,30,300,2059.76,1,5,3,RISK OF LOSING
1305,30,373,7552.93,1,5,5,RISK OF LOSING
1780,30,43,1413.68,1,2,2,LOST
940,30,65,1261.62,1,3,2,RISK OF LOSING
1090,29,12,307.87,1,1,1,LOST
2131,29,140,3982.87,1,4,4,RISK OF LOSING
1196,29,27,1915.95,1,1,3,RISK OF LOSING
21,29,27,870.11,1,1,2,LOST
1843,29,42,770.15,1,2,2,LOST
1121,29,61,2486.64,1,3,3,RISK OF LOSING
107,29,41,1222.83,1,2,2,LOST
1263,29,126,5257.44,1,4,5,RISK OF LOSING
2176,29,195,2601.56,1,5,3,RISK OF LOSING
2482,29,71,2728.77,1,3,3,RISK OF LOSING
2294,29,186,8381.66,1,5,5,RISK OF LOSING
495,29,73,3050.52,1,3,4,RISK OF LOSING
1259,29,33,1163.62,1,2,2,LOST
1688,28,36,971.12,1,2,2,LOST
1931,28,101,2211.08,1,4,3,RISK OF LOSING
2302,28,74,1960.24,1,3,3,RISK OF LOSING
1003,28,63,2588.73,1,3,3,RISK OF LOSING
1954,28,143,1965.65,1,4,3,RISK OF LOSING
2496,28,63,4339.66,1,3,4,RISK OF LOSING
1624,28,82,1567.81,1,3,2,RISK OF LOSING
1403,28,151,3673.26,1,4,4,RISK OF LOSING
1401,28,52,587.37,1,2,1,LOST
2042,28,29,4809.05,1,1,4,RISK OF LOSING
2374,28,82,6249.35,1,3,5,RISK OF LOSING
557,28,29,718.46,1,1,1,LOST
2399,28,10,188.49,1,1,1,LOST
2031,28,15,306.37,1,1,1,LOST
984,27,32,1219.71,1,1,2,LOST
245,27,48,1396.45,1,2,2,LOST
461,27,39,664.8,1,2,1,LOST
1543,27,84,2612.4,1,3,3,RISK OF LOSING
525,27,40,902.77,1,2,2,LOST
548,27,93,4255.83,1,3,4,RISK OF LOSING
1648,27,116,5250.36,1,4,5,RISK OF LOSING
1992,27,30,528.65,1,1,1,LOST
544,27,131,15.948.500.000.000.000.000.000.000,1,4,2,RISK OF LOSING
1737,27,27,350.94,1,1,1,LOST
1838,27,34,1179.61,1,2,2,LOST
1182,27,124,1966.38,1,4,3,RISK OF LOSING
894,27,31,1095.29,2,1,2,OCCASIONAL CUSTOMER
1957,27,44,1994.23,2,2,3,OCCASIONAL CUSTOMER
59,27,44,1688.33,2,2,3,OCCASIONAL CUSTOMER
846,27,34,1120.9,2,2,2,OCCASIONAL CUSTOMER
969,27,8,311.59,2,1,1,OCCASIONAL CUSTOMER
1862,27,142,2210.04,2,4,3,REGULAR
2323,27,29,781.34,2,1,2,OCCASIONAL CUSTOMER
2145,27,38,1090.62,2,2,2,OCCASIONAL CUSTOMER
1701,27,31,1390.28,2,1,2,OCCASIONAL CUSTOMER
481,26,49,2055.92,2,2,3,OCCASIONAL CUSTOMER
2137,26,186,2970.14,2,5,4,REGULAR
2475,26,124,5079.02,2,4,4,REGULAR
659,26,32,760.89,2,1,2,OCCASIONAL CUSTOMER
300,26,107,4974.31,2,4,4,REGULAR
1200,26,30,1619.45,2,1,2,OCCASIONAL CUSTOMER
10,26,9,234.34,2,1,1,OCCASIONAL CUSTOMER
66,26,29,395.95,2,1,1,OCCASIONAL CUSTOMER
1212,26,6,195.27,2,1,1,OCCASIONAL CUSTOMER
1456,26,69,1506.5,2,3,2,REGULAR
2025,26,33,1119.54,2,2,2,OCCASIONAL CUSTOMER
826,26,26,203.01,2,1,1,OCCASIONAL CUSTOMER
39,26,64,5033.66,2,3,4,REGULAR
1583,26,20,338.28,2,1,1,OCCASIONAL CUSTOMER
1096,26,47,592.36,2,2,1,OCCASIONAL CUSTOMER
2048,26,47,1538.46,2,2,2,OCCASIONAL CUSTOMER
1855,25,11,251.95,2,1,1,OCCASIONAL CUSTOMER
1450,25,90,1647.2,2,3,3,REGULAR
2339,25,10,262.42,2,1,1,OCCASIONAL CUSTOMER
2465,25,165,2089.29,2,5,3,REGULAR
330,25,189,1679.38,2,5,3,REGULAR
812,25,93,1165.27,2,3,2,REGULAR
2320,25,25,369.59,2,1,1,OCCASIONAL CUSTOMER
2487,25,26,601.25,2,1,1,OCCASIONAL CUSTOMER
772,25,42,271.88,2,2,1,OCCASIONAL CUSTOMER
424,24,24,2441.79,2,1,3,OCCASIONAL CUSTOMER
1608,24,40,1399.89,2,2,2,OCCASIONAL CUSTOMER
336,24,120,3089.74,2,4,4,REGULAR
758,24,17,344.92,2,1,1,OCCASIONAL CUSTOMER
2278,24,46,1160.57,2,2,2,OCCASIONAL CUSTOMER
1433,24,8,70.04,2,1,1,OCCASIONAL CUSTOMER
1617,24,104,4067.8,2,4,4,REGULAR
2111,24,123,2590.37,2,4,3,REGULAR
814,24,23,773.76,2,1,2,OCCASIONAL CUSTOMER
111,24,51,1515.65,2,2,2,OCCASIONAL CUSTOMER
735,24,92,1062.25,2,3,2,REGULAR
2002,24,63,2465.12,2,3,3,REGULAR
2480,24,29,1716.05,2,1,3,OCCASIONAL CUSTOMER
2389,23,62,1485.44,2,3,2,REGULAR
1080,23,84,2206.11,2,3,3,REGULAR
1105,23,9,500.14,2,1,1,OCCASIONAL CUSTOMER
2353,23,14,412.75,2,1,1,OCCASIONAL CUSTOMER
1322,23,16,260.65,2,1,1,OCCASIONAL CUSTOMER
1945,23,19,1020.57,2,1,2,OCCASIONAL CUSTOMER
1416,23,6,91.65,2,1,1,OCCASIONAL CUSTOMER
2236,23,219,2880.5,2,5,4,REGULAR
1870,23,37,303.6,2,2,1,OCCASIONAL CUSTOMER
2114,23,156,3170.28,2,4,4,REGULAR
291,23,61,2474.49,2,3,3,REGULAR
1680,23,51,2039.68,2,2,3,OCCASIONAL CUSTOMER
1442,22,29,312.5,2,1,1,OCCASIONAL CUSTOMER
875,22,68,1473.27,2,3,2,REGULAR
17,22,124,5139.63,2,4,5,REGULAR
108,22,62,2671.16,2,3,3,REGULAR
1280,22,24,427.63,2,1,1,OCCASIONAL CUSTOMER
9,22,20,797.42,2,1,2,OCCASIONAL CUSTOMER
2327,22,43,1267.76,2,2,2,OCCASIONAL CUSTOMER
1087,22,149,3010.24,2,4,4,REGULAR
320,22,19,497.41,2,1,1,OCCASIONAL CUSTOMER
1134,22,51,5050.53,2,2,4,OCCASIONAL CUSTOMER
2138,22,66,1878.48,2,3,3,REGULAR
1054,22,41,1035.19,2,2,2,OCCASIONAL CUSTOMER
1335,22,31,978.87,2,1,2,OCCASIONAL CUSTOMER
1075,22,67,1469.02,2,3,2,REGULAR
1345,21,56,1348.56,2,2,2,OCCASIONAL CUSTOMER
1712,21,33,728.93,2,2,1,OCCASIONAL CUSTOMER
2046,21,48,638.8,2,2,1,OCCASIONAL CUSTOMER
585,21,42,805.07,2,2,2,OCCASIONAL CUSTOMER
935,21,57,1564.67,2,2,2,OCCASIONAL CUSTOMER
2477,21,40,1871.22,2,2,3,OCCASIONAL CUSTOMER
1776,21,231,3724.26,2,5,4,REGULAR
1437,21,99,4775.56,2,3,4,REGULAR
1765,21,62,2949.01,2,3,4,REGULAR
872,21,9,172.07,2,1,1,OCCASIONAL CUSTOMER
2113,21,60,1599.08,2,3,2,REGULAR
2474,21,49,511.41,2,2,1,OCCASIONAL CUSTOMER
319,21,109,3758.5,2,4,4,REGULAR
1008,21,40,511.12,2,2,1,OCCASIONAL CUSTOMER
129,21,40,475.73,2,2,1,OCCASIONAL CUSTOMER
2470,21,91,1042.06,2,3,2,REGULAR
981,21,36,1394.11,2,2,2,OCCASIONAL CUSTOMER
16,21,98,1512.02,2,3,2,REGULAR
1519,21,30,2425.66,2,1,3,OCCASIONAL CUSTOMER
